,countriesAndTerritories,location,continent,population_year,population,date,31-12-2019_x,01-01-2020_x,02-01-2020_x,03-01-2020_x,04-01-2020_x,05-01-2020_x,06-01-2020_x,07-01-2020_x,08-01-2020_x,09-01-2020_x,10-01-2020_x,11-01-2020_x,12-01-2020_x,13-01-2020_x,14-01-2020_x,15-01-2020_x,16-01-2020_x,17-01-2020_x,18-01-2020_x,19-01-2020_x,20-01-2020_x,21-01-2020_x,22-01-2020_x,23-01-2020_x,24-01-2020_x,25-01-2020_x,26-01-2020_x,27-01-2020_x,28-01-2020_x,29-01-2020_x,30-01-2020_x,31-01-2020_x,01-02-2020_x,02-02-2020_x,03-02-2020_x,04-02-2020_x,05-02-2020_x,06-02-2020_x,07-02-2020_x,08-02-2020_x,09-02-2020_x,10-02-2020_x,11-02-2020_x,12-02-2020_x,13-02-2020_x,14-02-2020_x,15-02-2020_x,16-02-2020_x,17-02-2020_x,18-02-2020_x,19-02-2020_x,20-02-2020_x,21-02-2020_x,22-02-2020_x,23-02-2020_x,24-02-2020_x,25-02-2020_x,26-02-2020_x,27-02-2020_x,28-02-2020_x,29-02-2020_x,01-03-2020_x,02-03-2020_x,03-03-2020_x,04-03-2020_x,05-03-2020_x,06-03-2020_x,07-03-2020_x,08-03-2020_x,09-03-2020_x,10-03-2020_x,11-03-2020_x,12-03-2020_x,13-03-2020_x,14-03-2020_x,15-03-2020_x,16-03-2020_x,17-03-2020_x,18-03-2020_x,19-03-2020_x,20-03-2020_x,21-03-2020_x,22-03-2020_x,23-03-2020_x,24-03-2020_x,25-03-2020_x,26-03-2020_x,27-03-2020_x,28-03-2020_x,29-03-2020_x,30-03-2020_x,31-03-2020_x,01-04-2020_x,02-04-2020_x,03-04-2020_x,31-12-2019_y,01-01-2020_y,02-01-2020_y,03-01-2020_y,04-01-2020_y,05-01-2020_y,06-01-2020_y,07-01-2020_y,08-01-2020_y,09-01-2020_y,10-01-2020_y,11-01-2020_y,12-01-2020_y,13-01-2020_y,14-01-2020_y,15-01-2020_y,16-01-2020_y,17-01-2020_y,18-01-2020_y,19-01-2020_y,20-01-2020_y,21-01-2020_y,22-01-2020_y,23-01-2020_y,24-01-2020_y,25-01-2020_y,26-01-2020_y,27-01-2020_y,28-01-2020_y,29-01-2020_y,30-01-2020_y,31-01-2020_y,01-02-2020_y,02-02-2020_y,03-02-2020_y,04-02-2020_y,05-02-2020_y,06-02-2020_y,07-02-2020_y,08-02-2020_y,09-02-2020_y,10-02-2020_y,11-02-2020_y,12-02-2020_y,13-02-2020_y,14-02-2020_y,15-02-2020_y,16-02-2020_y,17-02-2020_y,18-02-2020_y,19-02-2020_y,20-02-2020_y,21-02-2020_y,22-02-2020_y,23-02-2020_y,24-02-2020_y,25-02-2020_y,26-02-2020_y,27-02-2020_y,28-02-2020_y,29-02-2020_y,01-03-2020_y,02-03-2020_y,03-03-2020_y,04-03-2020_y,05-03-2020_y,06-03-2020_y,07-03-2020_y,08-03-2020_y,09-03-2020_y,10-03-2020_y,11-03-2020_y,12-03-2020_y,13-03-2020_y,14-03-2020_y,15-03-2020_y,16-03-2020_y,17-03-2020_y,18-03-2020_y,19-03-2020_y,20-03-2020_y,21-03-2020_y,22-03-2020_y,23-03-2020_y,24-03-2020_y,25-03-2020_y,26-03-2020_y,27-03-2020_y,28-03-2020_y,29-03-2020_y,30-03-2020_y,31-03-2020_y,01-04-2020_y,02-04-2020_y,03-04-2020_y
49,Cyprus,Cyprus,Europe,2020.0,1207361.0,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,14.0,21.0,30.0,40.0,40.0,58.0,58.0,67.0,84.0,95.0,116.0,124.0,132.0,146.0,162.0,179.0,214.0,230.0,262.0,320.0,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,5.0,6.0,7.0,8.0,9.0,9.0
50,Czech_Republic,Czech Republic,Europe,2020.0,10708982.0,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,8.0,12.0,19.0,26.0,32.0,40.0,63.0,94.0,116.0,150.0,214.0,298.0,344.0,434.0,522.0,694.0,904.0,995.0,1165.0,1236.0,1394.0,1654.0,2062.0,2279.0,2663.0,2829.0,3002.0,3308.0,3589.0,3858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,9.0,9.0,11.0,16.0,24.0,31.0,39.0,44.0
51,Democratic_Republic_of_the_Congo,Democratic Republic of Congo,Africa,2020.0,89561404.0,Democratic Republic of Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,3.0,3.0,14.0,14.0,14.0,23.0,26.0,26.0,45.0,45.0,54.0,58.0,58.0,81.0,98.0,98.0,123.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,8.0,8.0,8.0,11.0,11.0
52,Denmark,Denmark,Europe,2020.0,5792203.0,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,5.0,8.0,10.0,20.0,23.0,31.0,38.0,113.0,264.0,516.0,676.0,804.0,827.0,875.0,932.0,1024.0,1115.0,1151.0,1255.0,1326.0,1395.0,1460.0,1591.0,1724.0,1877.0,2046.0,2201.0,2395.0,2577.0,2860.0,3107.0,3386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,9.0,13.0,13.0,24.0,32.0,34.0,41.0,52.0,65.0,72.0,77.0,90.0,104.0,123.0
53,Djibouti,Djibouti,Africa,2020.0,988002.0,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,12.0,13.0,15.0,19.0,26.0,31.0,34.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Dominica,Dominica,North America,2020.0,71991.0,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Dominican_Republic,Dominican Republic,North America,2020.0,10847904.0,Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2.0,,,5.0,,,,11.0,11.0,11.0,11.0,11.0,21.0,21.0,34.0,112.0,202.0,245.0,312.0,392.0,488.0,581.0,719.0,859.0,901.0,1109.0,1284.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,6.0,10.0,10.0,20.0,28.0,39.0,42.0,51.0,57.0,60.0
56,Ecuador,Ecuador,South America,2020.0,17643060.0,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,,10.0,13.0,,,14.0,15.0,17.0,,,23.0,28.0,37.0,58.0,111.0,168.0,199.0,426.0,532.0,789.0,981.0,1082.0,1211.0,1403.0,1627.0,1835.0,1890.0,1966.0,2302.0,2758.0,3163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,1.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7.0,14.0,18.0,27.0,29.0,34.0,41.0,48.0,58.0,62.0,79.0,120.0,120.0
57,Egypt,Egypt,Africa,2020.0,102334403.0,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,3.0,15.0,,49.0,55.0,59.0,60.0,80.0,93.0,93.0,110.0,126.0,166.0,196.0,210.0,256.0,285.0,294.0,327.0,366.0,442.0,456.0,495.0,536.0,576.0,609.0,656.0,710.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,7.0,8.0,10.0,14.0,19.0,21.0,21.0,24.0,30.0,36.0,40.0,41.0,46.0,52.0
58,El_Salvador,El Salvador,North America,2020.0,6486201.0,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,3.0,5.0,9.0,13.0,13.0,13.0,19.0,30.0,32.0,32.0,41.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
59,Equatorial_Guinea,Equatorial Guinea,Africa,2020.0,1402985.0,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,9.0,9.0,11.0,12.0,13.0,13.0,14.0,14.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Eritrea,Eritrea,Africa,2020.0,3546427.0,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,12.0,12.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Estonia,Estonia,Europe,2020.0,1326539.0,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,2.0,,5.0,10.0,,,,13.0,16.0,27.0,79.0,115.0,171.0,205.0,225.0,258.0,267.0,283.0,306.0,326.0,352.0,369.0,404.0,538.0,575.0,640.0,679.0,715.0,745.0,779.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,11.0
62,Eswatini,Swaziland,Africa,2020.0,1160164.0,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Ethiopia,Ethiopia,Africa,2020.0,114963583.0,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,5.0,5.0,6.0,7.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,16.0,16.0,16.0,23.0,25.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Falkland_Islands_(Malvinas),Falkland Islands,South America,2020.0,3483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Faroe_Islands,Faeroe Islands,Europe,2020.0,48865.0,Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,80.0,92.0,115.0,118.0,122.0,132.0,140.0,144.0,155.0,159.0,168.0,169.0,173.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Fiji,Fiji,Oceania,2020.0,896444.0,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Finland,Finland,Europe,2020.0,5540718.0,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,,7.0,,12.0,19.0,,30.0,40.0,,59.0,155.0,,210.0,267.0,272.0,319.0,369.0,400.0,450.0,521.0,626.0,700.0,792.0,880.0,958.0,1025.0,1218.0,1218.0,1313.0,1384.0,1446.0,1518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,9.0,11.0,13.0,17.0,17.0,19.0
68,France,France,Europe,2020.0,65273512.0,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,17.0,38.0,57.0,100.0,130.0,178.0,212.0,285.0,423.0,613.0,716.0,1126.0,1412.0,1784.0,2281.0,2876.0,3661.0,4499.0,5423.0,6633.0,7730.0,9134.0,10995.0,12612.0,14459.0,16018.0,19856.0,22302.0,25233.0,29155.0,32964.0,37575.0,40174.0,44550.0,52128.0,56989.0,59105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,9.0,10.0,19.0,30.0,33.0,48.0,61.0,79.0,91.0,127.0,148.0,175.0,244.0,372.0,450.0,562.0,674.0,860.0,1100.0,1331.0,1696.0,1995.0,2314.0,2606.0,3024.0,3523.0,4032.0,4503.0
69,French_Polynesia,French Polynesia,Oceania,2020.0,280904.0,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,15.0,17.0,18.0,23.0,25.0,25.0,30.0,30.0,34.0,35.0,36.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Gabon,Gabon,Africa,2020.0,2225728.0,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,16.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,Gambia,Gambia,Africa,2020.0,2416664.0,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,Georgia,Georgia,Asia,2020.0,3989175.0,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,,,3.0,9.0,,12.0,13.0,15.0,23.0,24.0,25.0,30.0,30.0,30.0,33.0,34.0,34.0,40.0,43.0,49.0,54.0,61.0,70.0,73.0,79.0,81.0,85.0,90.0,98.0,110.0,115.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
